market_cap;circulating_supply;total_supply;max_supply;binanceSymbole
235218200;376722112.841443;1000000000.0;1000000000.0;ONGUSDT
233903733;990333582.142352;999985463.292846;;ICXUSDT
233731816;3435302650.37868;3770303327.0;3770303327.0;WAXPUSDT
232264664;33372.62189154872;36666.0;36666.0;YFIUSDT
226260999;1210174852.0;1230681816.62307;1230681816.62307;AUDIOUSDT
225105779;70938.0;70938.0;;WBETHUSDT
223782566;1404000000.0;1404000000.0;2400000000.0;VANRYUSDT
217807588;16960306587.4053;21000000000.0;;DGBUSDT
217676298;56223404.09044027;62834579.3535187;96150704.0;BALUSDT
216533093;455015530.8048597;1000000000.0;1000000000.0;TRIBEUSDT
215640908;79780971.38858637;118777894.684023;118777894.684023;UMAUSDT
213794449;141252593.454605;145652832.435007;;BANDUSDT
211233087;601139404.163178;601187468.295615;;SXPUSDT
208062873;81990703.72425415;99536986.9305317;100000000.0;CVXUSDT
207604478;1000000000.0;1000000000.0;;RIFUSDT
206272375;190117588.881215;184907850.0;250000000.0;SYNUSDT
206140904;279513076.3777;999878526.22696;1000000000.0;NTRNUSDT
203431157;72382548.06525737;86999784.9868455;86999784.9868455;RLCUSDT
201980911;775298708.760274;783921817.713538;;SYSUSDT
199958532;254856761.892204;339645510.317976;347714007.0;MAGICUSDT
197275581;277118150.0;984486851.0;2500000000.0;XAIUSDT
194392122;8087375977.0;8087375977.89177;10000000000.0;PONDUSDT
188989021;18250000.0;19250000.0;19250000.0;PROMUSDT
188336777;192789255.8554817;250204041.900219;250000000.0;SUSHIUSDT
183093801;1572639906.36;2000000000.0;2000000000.0;COTIUSDT
181679350;428076890.7280512;500000000.0;;BLZUSDT
179697092;341459396.130234;499709398.21031;500000000.0;JOEUSDT
179127175;18708894189.0;18708894189.0;90000000000.0;IOSTUSDT
178834217;258416277.099924;258416277.099924;258416277.099924;PUNDIXUSDT
174833461;461027796.316325;500000000.0;1000000000.0;DUSKUSDT
174335900;1907007545.25405;;;STRAXUSDT
170807241;110000000.0;1000000000.0;1000000000.0;AEVOUSDT
170410241;41369158816.0;;;SLPUSDT
167886193;167134615.0;1000000000.0;1000000000.0;PORTALUSDT
167218745;4943691067.145604;9999999999.99999;9999999999.99999;ACHUSDT
162871766;6278558.38040515;10719408.6263713;11000000.0;NMRUSDT
162136217;15727119.651228528;29745109.54325738;30000000.0;XVSUSDT
161534256;18032726355.929;18032726355.929;21000000000.0;IQUSDT
160755180;785576438.8305247;1000000000.0;1000000000.0;CTSIUSDT
159383424;8950417956.18862;9784317475.47775;;USTCUSDT
154499353;260104168.67965;1000000000.0;;EDUUSDT
154409944;3960483788.3096976;6804870174.0;;SNTUSDT
153806351;514815194.787141;999506122.99937;1000000000.0;POWRUSDT
151117406;133248290.0;133248290.0;133248290.0;XNOUSDT
150248412;5645454935.82688;10000000000.0;10000000000.0;CELRUSDT
144011644;236519288706.32507;258498693019.07;;NPXSUSDT
143482629;2574030.4835992325;2620280.78888373;;TRBUSDT
143348552;424422978.800557;424422978.800557;436915240.0;GMTUSDT
142069303;427809673.023;;;HIVEUSDT
138814228;145000000.0;500000000.0;500000000.0;HOOKUSDT
136097480;180290622.0;;;ARKUSDT
135006977;134748540.270683;134748540.270683;;USDPUSDT
133209431;802000010.0;1000000000.0;;CVCUSDT
132538173;9822285972.0;19900730000.0;;SUNUSDT
131947074;1119119339.4931;1232328859.15516;1232328859.15516;TRUUSDT
130448359;14904081.25;14904081.25;21000000.0;ZENUSDT
129782438;95654960452.73589;100000000000.0;;DENTUSDT
126675434;5066639005.45718;5066639005.45718;5066639005.45718;PEOPLEUSDT
125940446;141697637421.242;196008739620.0;210000000000.0;SPELLUSDT
125613127;639169756.0;1000000000.0;1000000000.0;PHAUSDT
123914341;130000000.0;1000000000.0;;AIUSDT
122926882;391962656.1447;1000000000.0;1000000000.0;HFTUSDT
121743973;460196443.276;;;STEEMUSDT
120271545;271355294.756039;293065600.645728;;SCRTUSDT
